sentence1,sentence2,label
"ফেসবুকে অস্ত্র হাতে ছবি, আলোচনায় এমপি বাবলু",এমপি বাবলুর ফেসবুকে নগ্ন ছবি,0
"ফেসবুকে অস্ত্র হাতে ছবি, আলোচনায় এমপি বাবলু",ফেসবুকে পিস্তল হাতে বগুড়ার এমপি বাবলু,1
"ফেসবুকে অস্ত্র হাতে ছবি, আলোচনায় এমপি বাবলু",অস্ত্রের পর এবার নগ্ন ছবি সেই এমপির ফেসবুকে,0
এমপি বাবলুর ফেসবুকে নগ্ন ছবি,ফেসবুকে পিস্তল হাতে বগুড়ার এমপি বাবলু,0
এমপি বাবলুর ফেসবুকে নগ্ন ছবি,নতুন কেনা পিস্তল হাতে বগুড়ার এমপির ছবি ভাইরাল,0
এমপি বাবলুর ফেসবুকে নগ্ন ছবি,অস্ত্রের পর এবার নগ্ন ছবি সেই এমপির ফেসবুকে,1
ফেসবুকে পিস্তল হাতে বগুড়ার এমপি বাবলু,নতুন কেনা পিস্তল হাতে বগুড়ার এমপির ছবি ভাইরাল,1
ফেসবুকে পিস্তল হাতে বগুড়ার এমপি বাবলু,অস্ত্রের পর এবার নগ্ন ছবি সেই এমপির ফেসবুকে,0
নতুন কেনা পিস্তল হাতে বগুড়ার এমপির ছবি ভাইরাল,অস্ত্রের পর এবার নগ্ন ছবি সেই এমপির ফেসবুকে,0
অতিরিক্ত অ্যাটর্নি মমতাজ ফকিরের পদত্যাগ,নতুন অ্যাটর্নি জেনারেল এ এম আমিন উদ্দিন,0
অতিরিক্ত অ্যাটর্নি মমতাজ ফকিরের পদত্যাগ,আমিন উদ্দিন নতুন এ্যাটর্নি জেনারেল,0
অতিরিক্ত অ্যাটর্নি মমতাজ ফকিরের পদত্যাগ,দেশবাসীর দোয়া চাইলেন আমিন উদ্দিন,0
নতুন অ্যাটর্নি জেনারেল এ এম আমিন উদ্দিন,আমিন উদ্দিন নতুন এ্যাটর্নি জেনারেল,1
নতুন অ্যাটর্নি জেনারেল এ এম আমিন উদ্দিন,দেশবাসীর দোয়া চাইলেন আমিন উদ্দিন,0
আমিন উদ্দিন নতুন এ্যাটর্নি জেনারেল,দেশবাসীর দোয়া চাইলেন আমিন উদ্দিন,0
"বিয়ের জন্য ডেকে সাতদিন ধরে ধর্ষণ, গ্রেফতার ২",রাজধানীতে বিয়ের প্রলোভনে বাসায় ডেকে ৭ দিন ধরে তরুণীকে ধর্ষণ,1
রাজধানীতে বিয়ের প্রলোভনে বাসায় ডেকে ৭ দিন ধরে তরুণীকে ধর্ষণ,"ফেসবুকে প্রেম, অতঃপর বিয়ের প্রলোভনে টানা ৭ দিন ধর্ষণ!",1
পিস্তল হাতে সাংসদের ছবি ফেসবুকে,পিস্তল হাতে এমপির ছবি ভাইরাল,1
পিস্তল হাতে সাংসদের ছবি ফেসবুকে,পিস্তল কিনে ফেসবুকে ছবি দিলেন এমপি!,1
পিস্তল হাতে সাংসদের ছবি ফেসবুকে,পিস্তল কিনে ফেসবুকে ছবি দিলেন সংসদ সদস্য,1
পিস্তল হাতে এমপির ছবি ভাইরাল,পিস্তল কিনে ফেসবুকে ছবি দিলেন সংসদ সদস্য,1
পিস্তল কিনে ফেসবুকে ছবি দিলেন এমপি!,পিস্তল কিনে ফেসবুকে ছবি দিলেন সংসদ সদস্য,1
দুর্নীতি পেলে কাউকে ছাড় দেওয়া হবে না,পদত্যাগ করলেন অতিরিক্ত অ্যাটর্নি মমতাজ ফকির,0
দুর্নীতি পেলে কাউকে ছাড় দেওয়া হবে না,অতিরিক্ত এটর্নি জেনারেল মমতাজ উদ্দিনের পদত্যাগ,0
দুর্নীতি পেলে কাউকে ছাড় দেওয়া হবে না,মৌলভীবাজার জুড়ে উচ্ছ্বাস,0
দুর্নীতি পেলে কাউকে ছাড় দেওয়া হবে না,অতিরিক্ত অ্যাটর্নি জেনারেল মুরাদ ও মোমতাজ পদত্যাগপত্র দিয়েছেন,0
পদত্যাগ করলেন অতিরিক্ত অ্যাটর্নি মমতাজ ফকির,অতিরিক্ত এটর্নি জেনারেল মমতাজ উদ্দিনের পদত্যাগ,1
পদত্যাগ করলেন অতিরিক্ত অ্যাটর্নি মমতাজ ফকির,মৌলভীবাজার জুড়ে উচ্ছ্বাস,0
