sentence1,sentence2,label
"হতে পারে এই হেনস্থা শারীরিক, মানসিক বা লিখিতভাবে প্ররোচনামূলক কিছু।","হোক তা আত্মার, শারিরীক কিংবা পরিবেশের।",1
মানুষের জন্যও মনপুড়ে।,সেটিও জনগণের রুদ্ররোষে।,1
কো অর্ডিনেশন কমিটি,সমন্বয় কমিটি,1
(আমাদের পরিবারে পাঁচজন সদস্য রয়েছে।,“আমাদের দলে জাতীয় দলের চারজন খেলোয়াড় আছে।,1
রিপোর্টটি সমাজকল্যাণ দফতরকে পাঠানো হবে।,আমরা তখন সমাজকল্যাণ দফতরকে রিপোর্ট পাঠাই।,1
ভারতীয় ফিল্ম বলতেই কি শুধুই হিন্দি ছবি বোঝায়?,হিন্দিভাষীরা শুধুমাত্র হিন্দি ছবিই দেখেন না।,1
এলাকা সাফ সুতরো রাখতে হবে।,স্পটগুলো পরিষ্কার-পরিচ্ছন্ন রাখা দরকার।,1
“এটা কন্ডিশনের ওপর নির্ভর করে।,‘আসলে এটা কন্ডিশনের উপর নির্ভর করে।,1
"তবে, পুলিশের বাধার কারণে তারা ক্যাম্পাসে প্রবেশ না করেই চলে যায়।",তবে পুলিশ প্রশাসনের তরফ থেকে তাদেরকে একেবারেই সৈকতের পারে ঘেষতে দেওয়া হয়নি।,1
"বিজেপি, কংগ্রেস ও বামেরা সিদ্ধান্তকে স্বাগত জানিয়েছে।","তালাকের এই রায়কে স্বাগত জানিয়েছে বিজেপি, কংগ্রেস, বাম সব পক্ষই।",1
শ্রীলঙ্কার বেশির ভাগ শহরের মধ্যেই রেলওয়ে যোগাযোগ ব্যবস্থা স্থাপিত হয়েছে জাতীয় রেলওয়ে কর্তৃপক্ষের মাধ্যমে।,রাষ্ট্র কর্তৃক পরিচালিত শ্রীলঙ্কা রেলওয়ের মাধ্যমে অধিকাংশ নগর ও শহরগুলো যুক্ত রয়েছে।,1
আমরা তো প্রায় নিঃস্ব হয়ে গেলাম!,"আমরা সেখানে প্রায় পৌঁছে গেছি, প্রায় পৌঁছে গেছি।",1
"তাঁর কথায়, ‘এত মানুষ করোনায় আক্রান্ত হচ্ছেন৷ কত মানুষের মৃত্যু হয়েছে।",তার দ্বারা মানুষ ভীষণভাবে প্রভাবিত হয়।,1
